image_path,label,source
C:\Projects\choochoo\data\raw\cifake\test\FAKE\480.jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1935 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\3630 (7).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_CC9K\1ba805825b3b14ce395d611f9bbd64b5.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4078 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0489 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3176 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\wildfake\DDIM\imgs_bedroom\9dd8a011fde980e5300cc6cf1ea15ed3.png,1,wildfake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\545 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1331 (9).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4336.jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\2442 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1282 (10).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img015173.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\1228 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\4311 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\1657 (8).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0957 (10).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\REAL\0652 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\0663 (2).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\5054 (3).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3875 (3).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3652 (7).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\test\FAKE\229 (8).jpg,1,cifake
C:\Projects\choochoo\data\raw\wildfake\celebahq\data1024x1024\img016791.jpg,0,wildfake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\4629 (6).jpg,1,cifake
C:\Projects\choochoo\data\raw\cifake\train\REAL\3432 (6).jpg,0,cifake
C:\Projects\choochoo\data\raw\cifake\train\FAKE\2942 (7).jpg,1,cifake
