branch,condition,auroc,accuracy,fpr,fnr
full,clean,0.9961200757697642,0.9687773713225823,0.018026275588145433,0.04473409801876955
full,jpeg_quality_90,0.9958986646837477,0.9650677520737801,0.015683878195335572,0.054640250260688215
full,jpeg_quality_70,0.9950165248558873,0.9631098974702458,0.020877889805479173,0.05328467153284672
full,jpeg_quality_50,0.9894574594742525,0.9401308671234994,0.024849781036765453,0.09572471324296142
full,jpeg_quality_30,0.9828934103519797,0.9136998299757845,0.025460841226194113,0.14859228362878
full,blur_sigma_0.5,0.9927017600423771,0.8926271317430058,0.0038700478663815053,0.21334723670490094
full,blur_sigma_1.0,0.9068342473217796,0.6563449945901386,0.00600875852938181,0.689363920750782
full,blur_sigma_2.0,0.7578258023934996,0.6433613272193313,0.07556777675934413,0.6444212721584984
full,resize_scale_0.5,0.8585678996298063,0.6565510845484054,0.011813830328954068,0.6830031282586028
full,resize_scale_0.25,0.7495546450185266,0.6504714307795353,0.11498115897749261,0.5896767466110532
